Type,Name,Street,City,State,Zip,Hours of Operation,Area Served,Deliveries?,Diapers Offered?,Drive Thru?,Contact,Phone,Email,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Community Meals,Centenary UMC Community Meal,438 Chenango St,Binghamton,NY,13901,Thursday 5:00pm-6:00pm,Northside Binghamton or anyone,No,No,No,Bonnie Zeggert,(607)724-3546,ccsumc438@outlook.com,42.112095,-75.90228,1,rooftop,438,Chenango St,,,Binghamton,NY,Broome County,13901,US,Broome
Community Meals,Community Meal of UPC,42 Chenango St,Binghamton,NY,13901,Tuesday 5:00pm-6:00pm,Broome County and Surrounding Areas,No,No,No,Sherry Conklin,(607)722-4219,meal@upcbgm.org,42.100059,-75.90975,1,rooftop,42,Chenango St,,,Binghamton,NY,Broome County,13901,US,Broome
Community Meals,Salvation Army Community Meal- Binghamton SK,127-131 Washington St,Binghamton,NY,13901,"Monday, Thursday & Friday 9:30am-10:30am & 4:30pm-5:30pm; Tuesday & Wednesday 9:30am-10:30am; Saturday & Sunday 4:30pm-5:30pm",All,No,Yes through Women and Girls Hygiene Pantry,No,Joseph Hansen,(607)722-2987,joseph.hansen@use.salvationarmy.org,42.098071,-75.913801,0.9,nearest_rooftop_match,131,Washington St,,,Binghamton,NY,Broome County,13901,US,Broome
Community Meals,St. Mary's of the Assumption,152 Hawley St,Binghamton,NY,13901,Saturday 12:00pm-1:00pm,Binghamton or anyone,No,No,No,Shannon Brooks,(607)723-5383,shannon_brooks2003@yahoo.com,42.098585,-75.904823,1,range_interpolation,152,Hawley St,,,Binghamton,NY,Broome County,13901,US,TIGER/Line® dataset from the US Census Bureau
Community Meals,City Church,225 Washington St,Binghamton,nY,13901,Every Thurs 5pm; Every Sun 9am,,,,,,607-723-7417,,42.101531,-75.912779,1,range_interpolation,225,Washington St,,,Binghamton,NY,Broome County,13901,US,TIGER/Line® dataset from the US Census Bureau
Community Meals,Fairview UMC Community Meal,254 Robinson St,Binghamton,NY,13904,2nd & 4th Monday 5:00pm-6:00pm,"Broome County, Binghamton School District, 13904, Eastside of Binghamton",Yes,Yes,No,Sue Boucher,(607)724-6886,sdb13903@hotmail.com,42.107847,-75.881291,1,rooftop,254,Robinson St,,,Binghamton,NY,Broome County,13904,US,Broome
Community Meals,House of Worship,93 Riverside Drive,Binghamton,NY,13905,Sunday 11:00am-12:00pm & Wednesday 4:00pm-5:00pm,13905,No,Yes,No,Frank Barnett,(607)232-8338,forgivefrank64@yahoo.com,42.091826,-75.929531,1,rooftop,93,Riverside Dr,,,Binghamton,NY,Broome County,13905,US,Broome
Community Meals,St. Michael's Community Meal,296 Clinton St,Binghamton,NY,13905,Monday 5:30pm-7:00pm,Binghamton and surrounding areas,Yes,No,No,Barbara Knighton,(607)621-6079,bknight@binghamton.edu,42.109212,-75.934457,1,range_interpolation,296,Clinton St,,,Binghamton,NY,Broome County,13905,US,TIGER/Line® dataset from the US Census Bureau
Community Meals,Tabernacle UMC meal site,83 Main St,Binghamton,NY,13905,Wednesday 5:00pm-6:30pm,Binghamton,No,No,No,Vanessa Whitmore,(607)723-8983,vhounded14@gmail.com,42.09862,-75.9174,1,range_interpolation,83,Main St,,,Binghamton,NY,Broome County,13905,US,TIGER/Line® dataset from the US Census Bureau
Community Meals,Trinity Memorial Canteen,44 main St,Binghamton,NY,13905,Sunday Bag Lunch 11:30-1:30,,,,,,,,42.099485,-75.919277,1,rooftop,44,Main St,,,Binghamton,NY,Broome County,13905,US,Broome
Community Meals,YMCA- Mens Supportive Living,61 Susquehanna St,Binghamton,NY,13901,"Breakfast: Mon-Friday 9:30-10:15; Bread Line: Monday-Friday 12-1; Dinners: M,Th.Fri, Sat,Sun 5-5:45",,,,,,,,42.095665,-75.910962,1,rooftop,61,Susquehanna St,,,Binghamton,NY,Broome County,13901,US,Broome
Community Meals,Islamic Awarness Center,74 Conklin Ave,Binghamton,NY,13903,Saturday 11-1,Community Meal Saturday 11-1 is on hold. will contact 211 when it starts back up.,,,,,607-723-0966,,42.092481,-75.908284,1,rooftop,74,Conklin Ave,,,Binghamton,NY,Broome County,13903,US,Broome
Community Meals,Southside Free Community-Conklin Ave first Baptist,91 Baldwin St,Binghamton,NY,13903,Last Monday 5:00 pm,,,,,,607-724-1252,,42.096169,-75.891703,1,rooftop,91,Baldwin St,,,Binghamton,NY,Broome County,13903,US,Broome
Community Meals,"Shepherd's Bowl, Anglican Church of the Good Shepherd",360 Conklin Ave,Binghamton,NY,13903,Every Thursday 5:30-6:30,,,,,,607-723-8032,,42.098484,-75.8822,1,rooftop,360,Conklin Ave,,,Binghamton,NY,Broome County,13903,US,Broome
Community Meals,Boulevard UMC,113 Grand Ave,Binghamton,NY,13905,"1st, 3rd & 5th Saturdays 5-5:30pm take out only",,,,,,607-797-5675,,42.109658,-75.946126,0.95,rooftop,113,Grand Blvd,,,Binghamton,NY,Broome County,13905,US,Broome
Community Meals,St Patrick's Sandwich Ministry,9 Leroy St,Binghamton,NY,13905,Daily Bagged Lunch,,,,,,607-722-1060,,42.094824,-75.920037,1,rooftop,9,Leroy St,,,Binghamton,NY,Broome County,13905,US,Broome
Community Meals,NOMA- First Congregational Church,30 Main St,Binghamton,NY,13905, Saturdays  Lunch 12:30-1:30 during Binghamton Food Rescue,All,,,,Brandi Brown,,nomanorthofmain@gmail.com,42.099159,-75.918137,1,rooftop,30,Main St,,,Binghamton,NY,Broome County,13905,US,Broome
Community Meals,Friendship Table First UMC,109 Second St,Deposit,NY,13754,Every 4th Wednesday 4:30-6PM,,,,,,607-467-4000,,42.062301,-75.424818,1,rooftop,109,2nd St,,,Deposit,NY,Broome County,13754,US,Broome
Community Meals,Central United Methodist Church Meal Site,17 Nanticoke Ave,Endicott,NY,13760,Thursday 4:30pm-6:00pm,Greater Endicott Area,No,No,Take out meals,Knud Hansen,(607)754-0882,khansen3@yahoo.com,42.097598,-76.065319,1,range_interpolation,17,Nanticoke Ave,,,Endicott,NY,Broome County,13760,US,TIGER/Line® dataset from the US Census Bureau
Community Meals,Our Lady of Good Counsel,701 W Main St,Endicott,NY,13760,Friday's 5:30-6:30,Greater Endicott Area,,,,,,,42.092956,-76.079514,1,rooftop,701,W Main St,,,Endicott,NY,Broome County,13760,US,Broome
Community Meals,Endwell UMC Community Meal,3301 Watson Blvd,Endwell,NY,13760,Monday 3:00pm-5:00pm,"Endwell, Endicott, Johnson City",Yes,No,No,David Alexander,(607)754-5735,dalexander4@stny.rr.com,42.111092,-76.021968,1,rooftop,3301,Watson Blvd,,,Endicott,NY,Broome County,13760,US,Broome
Community Meals,First Presbyterian Church,2 Main St,Johnson City,NY,13790,"Wednesday 5:00pm-6:00pm, doors open at 4:30",,,"Hygiene products, Safe Showers (by appt)",,,607-797-0836,,42.111172,-75.945584,1,rooftop,2,Main St,,,Johnson City,NY,Broome County,13790,US,Broome
Community Meals,All Saints Episcopal Church,475 Main St,Johnson City,NY,13790,Every Saturday 12-1PM,All Welcome,No,No,No,Debbie Thorpe,607-797-3354,dthorpe@stny.rr.com,42.115555,-75.96552,1,range_interpolation,475,Main St,,,Johnson City,NY,Broome County,13790,US,TIGER/Line® dataset from the US Census Bureau
Community Meals,Whitney Point UMC,7313 Collins St,Whitney Point,NY,13862,2nd & last Thursday 4:30-6PM,You must call to pre-register,,,,,607-692-3638,,42.32783,-75.965746,1,range_interpolation,7313,Collins St,,,Whitney Point,NY,Broome County,13862,US,TIGER/Line® dataset from the US Census Bureau
Community Meals,MOW for Western Broome County,705 West Main St,Endicott,NY,13760,,"Serving Endicott, Endwell, Vestal, Johnson City, and Maine, NY",Yes,,,View,607-754-7856,,42.092724,-76.079887,1,rooftop,705,W Main St,,,Endicott,NY,Broome County,13760,US,Broome
Community Meals,MOW Broome County,60 Hawley St.,Binghamton,NY,13901,,,Yes,,,,607-778-2411,ofa@broomecountyny.gov,42.096552,-75.910755,1,rooftop,60,Hawley St,,,Binghamton,NY,Broome County,13901,US,Broome
Community Meals,Mt. Sinai Church,126 South Washington St,Binghamton,NY,13903,Every Wednesday 3-5PM,Broome County,,,,,607-723-2361,,42.083054,-75.912874,1,rooftop,126,S Washington St,,,Binghamton,NY,Broome County,13903,US,Broome
Community Meals,Sarah Jane Johnson Lord's Supper,308 Main St.,Johnson City,NY,13790,"Every Tuesday , Dine in or Take Out, 5:00-5:30PM",All,Free Bikes - website,"yes, call 607-797-3938",Dine In/Take Out,,607-797-3938,www.sarahjaneschurch.org,42.115587,-75.957854,1,rooftop,308,Main St,,,Johnson City,NY,Broome County,13790,US,Broome
